",""IE_4_5.1"",""IE_4_5.2"",""IE_4_5.3"",""IE_4_5.4"",""IE_4_5.5"",""IE_4_5.6"",""IE_4_5.7"",""IE_4_5.8"",""IE_4_5.9"",""IE_4_5.10"",""IE_4_5.11"",""IE_4_5.12"",""IE_4_5.13"",""IE_4_5.14"",""IE_4_5.15"",""IE_4_5.16"",""IE_4_5.17"""
JUL 2005,1989417,-24801,-1.23,-9.54,-0.05,15.07,-0.50,-0.77,-2.91,0.01,1570198,5.60,7.40,24.16,92.60,1513557,4.35
AGO 2005,2019110,-30529,-1.49,-7.68,-0.66,17.87,-1.19,-1.45,-4.52,-0.46,1298453,15.40,7.09,21.77,92.91,1271189,14.39
SEP 2005,2013286,-37228,-1.82,-6.10,-1.22,23.51,-1.91,-1.95,-4.96,-1.33,1617951,9.64,8.58,24.53,91.42,1612382,11.60
OCT 2005,2052861,-22950,-1.11,-11.33,0.30,33.15,-0.61,-0.74,-3.26,-0.10,1637186,11.22,9.05,27.18,90.95,1611754,12.40
NOV 2005,2095580,-25509,-1.20,-10.11,0.01,29.00,-0.82,-0.50,-3.17,-0.47,1569481,8.48,9.10,25.24,90.90,1502335,6.25
DIC 2005,2102937,-9778,-0.46,-6.82,0.36,29.70,-0.45,-0.75,-3.01,0.13,1329617,8.69,8.16,23.95,91.84,1295128,9.49
ENE 2006,2171503,-5096,-0.23,4.86,-0.80,19.20,-1.39,-2.07,-6.18,-0.31,1472539,14.60,10.85,21.25,89.15,1417533,12.93
FEB 2006,2169277,3857,0.18,5.85,-0.47,25.56,-1.21,-1.94,-5.29,-0.28,1366664,11.08,11.75,21.83,88.25,1312808,11.71
MAR 2006,2148530,3695,0.17,6.54,-0.56,20.27,-1.19,-3.48,-7.95,0.62,1555516,18.98,11.33,22.42,88.67,1494655,19.79
ABR 2006,2075676,-20269,-0.97,2.53,-1.39,16.67,-1.94,-2.95,-6.51,-0.85,1304213,-1.40,11.17,22.60,88.83,1269249,-0.65
MAY 2006,2004528,-2865,-0.14,-1.64,0.05,9.27,-0.25,-3.45,-4.26,1.26,1637566,14.54,10.19,22.60,89.81,1595118,16.03
JUN 2006,1959754,-15106,-0.76,-4.29,-0.30,8.76,-0.61,-3.24,-2.31,0.34,1655753,5.67,9.21,22.94,90.79,1591305,2.03
JUL 2006,1954984,-34433,-1.73,-4.37,-1.39,6.26,-1.66,-3.80,-2.25,-1.03,1670892,6.41,10.07,24.30,89.93,1594903,5.37
AGO 2006,1983677,-35433,-1.75,-5.49,-1.29,4.50,-1.49,-4.25,-0.80,-0.94,1322920,1.88,10.58,22.17,89.42,1252414,-1.48
